study_ID;species;trait;environment;npop;d;mean;d_se;species_trait;maxdist;tg1;tg2;ms;dimension;evals
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;gland_area;field;15;0,0440382950141341;23,9033333333333;0,0151050105740248;Dalechampia_scandens_A_gland_area;159,213;floral;reward;M;area;0,716
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;gland_heigth;field;15;0,0127367888630068;3,318;0,00436868253852908;Dalechampia_scandens_A_gland_heigth;159,213;floral;reward;M;linear;0,305
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;gland_ratio;field;15;0,00243200019643715;47,066;0,00083416918551055;Dalechampia_scandens_A_gland_ratio;159,213;floral;shape;M;ratio;0,18
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;gland_stigma_distance;field;15;0,00266585741435943;4,98066666666667;0,000914381549508617;Dalechampia_scandens_A_gland_stigma_distance;159,213;floral;fit;M;linear;0,478
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;gland_width;field;15;0,0103846839310709;7,06;0,00356191720266161;Dalechampia_scandens_A_gland_width;159,213;floral;reward;M;linear;0,105
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;GSD_shape;field;15;0,00252322731297138;84,798;0,000865459828335051;Dalechampia_scandens_A_GSD_shape;159,213;floral;shape;M;ratio;0,047
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;lower_bract_length;field;15;0,0101522042619826;20,3613333333333;0,00348217733401551;Dalechampia_scandens_A_lower_bract_length;159,213;floral;peduncle;M;linear;0,28
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;lower_bract_ratio;field;15;0,00358409856560022;101,714666666667;0,00122933566602347;Dalechampia_scandens_A_lower_bract_ratio;159,213;floral;shape;M;ratio;0,058
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;lower_bract_width;field;15;0,00673970268569831;20,0906666666667;0,00231169894975686;Dalechampia_scandens_A_lower_bract_width;159,213;floral;flowersize;M;linear;0,342
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;mean_magnitude;field;15;0,0905097435181453;3,952;0,0310445859099465;Dalechampia_scandens_A_mean_magnitude;159,213;floral;herkogamy;M;linear;1,908
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;upper_bract_length;field;15;0,0107844273781005;19,3986666666667;0,00369902807383273;Dalechampia_scandens_A_upper_bract_length;159,213;floral;flowersize;M;linear;0,253
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;upper_bract_ratio;field;15;0,00272517166762593;100,022666666667;0,000934726170536597;Dalechampia_scandens_A_upper_bract_ratio;159,213;floral;shape;M;ratio;0,102
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_field;Dalechampia_scandens_A;upper_bract_width;field;15;0,00634464457121348;19,406;0,00217619513439042;Dalechampia_scandens_A_upper_bract_width;159,213;floral;flowersize;M;linear;0,314
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_anther_distance;greenhouse;12;0,00782801331029896;6,4375;0,00295871092553636;Dalechampia_scandens_A_gland_anther_distance;89,733;floral;fit;M;linear;0,12
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_area;greenhouse;12;0,0396849249008734;26,7283333333333;0,0149994917265694;Dalechampia_scandens_A_gland_area;89,733;floral;reward;M;area;0,716
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_heigth;greenhouse;12;0,0150385709823952;3,59;0,00568404555617286;Dalechampia_scandens_A_gland_heigth;89,733;floral;reward;M;linear;0,305
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_ratio;greenhouse;12;0,00726754106800449;49,085;0,00274687232984123;Dalechampia_scandens_A_gland_ratio;89,733;floral;shape;M;ratio;0,18
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_stigma_distance;greenhouse;12;0,0132761144647047;6,0225;0,0050178996072623;Dalechampia_scandens_A_gland_stigma_distance;89,733;floral;fit;M;linear;0,478
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;gland_width;greenhouse;12;0,0085501401055502;7,30666666666667;0,00323164919914934;Dalechampia_scandens_A_gland_width;89,733;floral;reward;M;linear;0,105
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;GSD_shape;greenhouse;12;0,000565536872794327;89,9266666666667;0,000213752846092994;Dalechampia_scandens_A_GSD_shape;89,733;floral;shape;M;ratio;0,047
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;lower_bract_length;greenhouse;12;0,0115260081835932;27,0683333333333;0,00435642160901185;Dalechampia_scandens_A_lower_bract_length;89,733;floral;peduncle;M;linear;0,28
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;lower_bract_ratio;greenhouse;12;0,0017116336684965;115,084166666667;0,000646936717498131;Dalechampia_scandens_A_lower_bract_ratio;89,733;floral;shape;M;ratio;0,058
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;lower_bract_width;greenhouse;12;0,0110636166875483;23,6425;0,0041816540508853;Dalechampia_scandens_A_lower_bract_width;89,733;floral;flowersize;M;linear;0,342
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;mean_magnitude;greenhouse;12;0,12465108515478;3,7925;0,0471136817105549;Dalechampia_scandens_A_mean_magnitude;89,733;floral;herkogamy;M;linear;1,908
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;SL_shape;greenhouse;12;0,000239892126918235;100,566666666667;9,06707013297135e-05;Dalechampia_scandens_A_SL_shape;89,733;floral;shape;M;ratio;0,008
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;stigma_width;greenhouse;12;0,00924862828267253;1,57416666666667;0,00349565291491856;Dalechampia_scandens_A_stigma_width;89,733;floral;female;M;linear;0,329
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;style_length;greenhouse;12;0,0151595945688761;7,68083333333333;0,00572978817225882;Dalechampia_scandens_A_style_length;89,733;floral;fit;M;linear;0,483
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;SW_shape;greenhouse;12;0,00157301731467012;96,1533333333333;0,000594544660373683;Dalechampia_scandens_A_SW_shape;89,733;floral;shape;M;ratio;0,008
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;upper_bract_length;greenhouse;12;0,0103278738333357;26,1758333333333;0,00390356939072251;Dalechampia_scandens_A_upper_bract_length;89,733;floral;flowersize;M;linear;0,253
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;upper_bract_ratio;greenhouse;12;0,00137019640755435;112,445833333333;0,000517885563100417;Dalechampia_scandens_A_upper_bract_ratio;89,733;floral;shape;M;ratio;0,102
Opedal_et_al._Costa_Rica_Dalechampia_scandens_A_greenhouse;Dalechampia_scandens_A;upper_bract_width;greenhouse;12;0,00938547825065181;23,3333333333333;0,00354737734094718;Dalechampia_scandens_A_upper_bract_width;89,733;floral;flowersize;M;linear;0,314
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;claw_width;greenhouse;11;0,000470052110913119;1,05363636363636;0,000184369606611652;Clarkia_dudleyana_claw_width;11,3;floral;flowersize;O;linear;0,365
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;hypanthium_length;greenhouse;11;0,00508701575653457;2,69909090909091;0,00199529173911721;Clarkia_dudleyana_hypanthium_length;11,3;floral;flowersize;O;linear;1,9945
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;leaf_length;greenhouse;11;0,00409985666981393;79,0636363636364;0,00160809608940883;Clarkia_dudleyana_leaf_length;11,3;vegetative;leaf_size;O;linear;NA
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;leaf_width;greenhouse;11;0,00780796209009572;15,8763636363636;0,00306253469683006;Clarkia_dudleyana_leaf_width;11,3;vegetative;leaf_size;O;linear;NA
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;ovary_length;greenhouse;11;0,00385301003615965;19,5454545454545;0,00151127487388053;Clarkia_dudleyana_ovary_length;11,3;floral;female;O;linear;0,7175
Podolsky_et_al._1997_Clarkia_dudleyana_greenhouse;Clarkia_dudleyana;petal_length;greenhouse;11;0,00372513331833425;17,0436363636364;0,00146111749853238;Clarkia_dudleyana_petal_length;11,3;floral;flowersize;O;linear;0,2245
Puentes_et_al._2016_Arabidopsis_lyrata_common_garden;Arabidopsis_lyrata;number_of_flowers;common_garden;4;0,0786705511774553;26,675;0,0454204638996;Arabidopsis_lyrata_number_of_flowers;570,992;floral;display;O;count;11,60425
Puentes_et_al._2016_Arabidopsis_lyrata_common_garden;Arabidopsis_lyrata;petal_length;common_garden;4;0,00279569214138164;3,05;0,00161409361039801;Arabidopsis_lyrata_petal_length;570,992;floral;flowersize;O;linear;0,6755
Puentes_et_al._2016_Arabidopsis_lyrata_common_garden;Arabidopsis_lyrata;petal_width;common_garden;4;0,00154136304306375;3,1325;0,000889906367831794;Arabidopsis_lyrata_petal_width;570,992;floral;flowersize;O;linear;0,88575
Puentes_et_al._2016_Arabidopsis_lyrata_common_garden;Arabidopsis_lyrata;rosette_size;common_garden;4;0,25342096901602;6,45;0,146312664679695;Arabidopsis_lyrata_rosette_size;570,992;vegetative;rosette_size;O;area;14,21925
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;achenes_per_head;greenhouse;6;0,0113356191619413;11,785;0,00566780958097063;Heterosperma_pinnatum_achenes_per_head;438,413;floral;fecundity;S;count;1,748
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;adult_height;greenhouse;6;0,0245975801742983;24,8716666666667;0,0122987900871491;Heterosperma_pinnatum_adult_height;438,413;vegetative;plant_size;S;linear;5,901
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;awn_length_central;greenhouse;6;0,00610959680290808;2,29666666666667;0,00305479840145404;Heterosperma_pinnatum_awn_length_central;438,413;floral;flowersize;S;linear;0,189
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;awned_achenes_per_head;greenhouse;6;0,23600879746648;5,025;0,11800439873324;Heterosperma_pinnatum_awned_achenes_per_head;438,413;floral;inflorescence;S;count;27,978
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;branch_height_over_soil;greenhouse;6;0,255660025887364;7,91166666666667;0,127830012943682;Heterosperma_pinnatum_branch_height_over_soil;438,413;vegetative;plant_size;S;linear;47,275
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;branch_length;greenhouse;6;0,0417569127464838;8,015;0,0208784563732419;Heterosperma_pinnatum_branch_length;438,413;vegetative;plant_size;S;linear;4,307
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;branch_length_over_height;greenhouse;6;0,0271835568272971;0,341666666666667;0,0135917784136485;Heterosperma_pinnatum_branch_length_over_height;438,413;vegetative;shape;S;ratio;8,651
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;branch_number;greenhouse;6;0,0488830106993557;2,32;0,0244415053496778;Heterosperma_pinnatum_branch_number;438,413;vegetative;plant_size;S;count;7,957
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;central_achene_length;greenhouse;6;0,0143059774257329;11,0283333333333;0,00715298871286644;Heterosperma_pinnatum_central_achene_length;438,413;floral;flowersize;S;linear;0,891
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;central_achenes_per_head;greenhouse;6;0,104376856746962;3,15833333333333;0,052188428373481;Heterosperma_pinnatum_central_achenes_per_head;438,413;floral;inflorescence;S;count;12,987
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;heads_per_plant;greenhouse;6;0,09331141735043;7,46666666666667;0,046655708675215;Heterosperma_pinnatum_heads_per_plant;438,413;floral;display;S;count;12,03
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;intermediate_achenes_per_head;greenhouse;6;0,0415044665258869;2,91833333333333;0,0207522332629434;Heterosperma_pinnatum_intermediate_achenes_per_head;438,413;floral;inflorescence;S;count;9,069
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;peripheral_achene_length;greenhouse;6;0,00221494021139382;4,80333333333333;0,00110747010569691;Heterosperma_pinnatum_peripheral_achene_length;438,413;floral;flowersize;S;linear;0,61
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;peripheral_achene_width;greenhouse;6;0,00658003480274287;3,07833333333333;0,00329001740137143;Heterosperma_pinnatum_peripheral_achene_width;438,413;floral;flowersize;S;linear;0,62
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;peripheral_achenes_per_head;greenhouse;6;0,115300052361114;5,71166666666667;0,0576500261805571;Heterosperma_pinnatum_peripheral_achenes_per_head;438,413;floral;inflorescence;S;count;6,166
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;seedling_height_3_weeks;greenhouse;6;0,0152375887163787;5,03833333333333;0,00761879435818933;Heterosperma_pinnatum_seedling_height_3_weeks;438,413;vegetative;growth;S;linear;2,44
Venable_&_Burquez_1989_Heterosperma_pinnatum_greenhouse;Heterosperma_pinnatum;seedling_width_3_weeks;greenhouse;6;0,0120558660136459;3,455;0,00602793300682296;Heterosperma_pinnatum_seedling_width_3_weeks;438,413;vegetative;growth;S;linear;2,394
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;circularity;greenhouse;16;0,521783772428853;38,911875;0,173927924142951;Senecio_pinnatifolius_circularity;607,881;vegetative;shape;O;NA;1,33460817525
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;height;greenhouse;16;0,369483176537058;323,7575;0,123161058845686;Senecio_pinnatifolius_height;607,881;vegetative;plant_size;O;linear;2,10315806375
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;indent_depth;greenhouse;16;0,175897202887429;1,439375;0,0586324009624764;Senecio_pinnatifolius_indent_depth;607,881;vegetative;leaf_size;O;linear;2,3411575255
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;indent_width;greenhouse;16;0,0883681148183653;6,368125;0,0294560382727884;Senecio_pinnatifolius_indent_width;607,881;vegetative;leaf_size;O;linear;0,98981065175
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;leaf_area;greenhouse;16;0,543849099358149;680,3725;0,181283033119383;Senecio_pinnatifolius_leaf_area;607,881;vegetative;leaf_size;O;area;4,12733024525
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;number_of_branches;greenhouse;16;0,0456751300649754;19,155;0,0152250433549918;Senecio_pinnatifolius_number_of_branches;607,881;vegetative;plant_size;O;count;0,50135714425
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;number_of_indents;greenhouse;16;0,192509529054406;0,118125;0,0641698430181355;Senecio_pinnatifolius_number_of_indents;607,881;vegetative;shape;O;count;2,35096892375
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;perimeter_over_area;greenhouse;16;3,81543773796604;2,024375;1,27181257932201;Senecio_pinnatifolius_perimeter_over_area;607,881;vegetative;shape;O;ratio;5,51429597325
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;stem_diameter;greenhouse;16;0,110107392803254;4,74375;0,0367024642677515;Senecio_pinnatifolius_stem_diameter;607,881;vegetative;plant_size;O;linear;0,73392510775
Walter_et_al_2018_Senecio_pinnatifolius_greenhouse;Senecio_pinnatifolius;stem_length_over_width;greenhouse;16;0,367116760960249;0,440625;0,122372253653416;Senecio_pinnatifolius_stem_length_over_width;607,881;vegetative;shape;O;ratio;5,12058594875
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;corolla_tube_length_90;common_garden;2;0,000482312012725132;3,22;0,000341046094845673;Senecio_integrifolius_corolla_tube_length_90;72,867;floral;fit;O;linear;1,558669171
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;days_from_flowering_to_seed_dispersal_90;common_garden;2;0,000548108191840976;51,35;0,000387571019274651;Senecio_integrifolius_days_from_flowering_to_seed_dispersal_90;72,867;lifehistory;seed_maturation;O;time;0,831276052
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;diameter_of_leaf_rosette_in_December_88;common_garden;2;0,00141748916317201;13,15;0,00100231619953737;Senecio_integrifolius_diameter_of_leaf_rosette_in_December_88;72,867;vegetative;leaf_size;O;linear;1,1063948695
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;diameter_of_leaf_rosette_in_September_88;common_garden;2;0,00226941309515211;6,385;0,00160471738889561;Senecio_integrifolius_diameter_of_leaf_rosette_in_September_88;72,867;vegetative;leaf_size;O;linear;8,69300191
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;involucre_length_89;common_garden;2;0,000107958903664984;6,125;7,63384728709753e-05;Senecio_integrifolius_involucre_length_89;72,867;floral;flowersize;O;linear;0,3072276125
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_length_89;common_garden;2;0;8,8;0;Senecio_integrifolius_ligule_length_89;72,867;floral;flowersize;O;linear;0,7215160125
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_length_90;common_garden;2;0,00293632566518639;11,75;0,0020762957896254;Senecio_integrifolius_ligule_length_90;72,867;floral;flowersize;O;linear;0,914583166
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_length_width_ratio_89;common_garden;2;0;3;0;Senecio_integrifolius_ligule_length_width_ratio_89;72,867;floral;shape;O;ratio;2,537027778
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_length_width_ratio_90;common_garden;2;0,00454201518716636;3,15;0,00321168973909762;Senecio_integrifolius_ligule_length_width_ratio_90;72,867;floral;shape;O;ratio;2,5188710285
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_width_89;common_garden;2;0,000276842154185573;2,975;0,00019575696454291;Senecio_integrifolius_ligule_width_89;72,867;floral;flowersize;O;linear;0,5579108465
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;ligule_width_90;common_garden;2;0;3,81;0;Senecio_integrifolius_ligule_width_90;72,867;floral;flowersize;O;linear;0,4867009735
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;maximum_leaf_length_in_October_89;common_garden;2;0,000526023556591572;9,25;0,000371954823929767;Senecio_integrifolius_maximum_leaf_length_in_October_89;72,867;vegetative;leaf_size;O;linear;0,8284868975
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;no_days_to_germination_90;common_garden;2;0,00117111258369637;12,4;0,000828101649464603;Senecio_integrifolius_no_days_to_germination_90;72,867;lifehistory;germination;O;time;0,580427501
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;no_of_florets_per_head_89;common_garden;2;0,00245096613870268;101,45;0,00173309477713527;Senecio_integrifolius_no_of_florets_per_head_89;72,867;floral;display;O;count;1,373654157
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;no_of_florets_per_head_90;common_garden;2;0,00366336749480154;92,35;0,00259039199755255;Senecio_integrifolius_no_of_florets_per_head_90;72,867;floral;display;O;count;2,1252636965
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;no_of_nodes_on_main_stem_90;common_garden;2;7,34636905775445e-05;8,25;5,1946673778372e-05;Senecio_integrifolius_no_of_nodes_on_main_stem_90;72,867;vegetative;plant_size;O;count;1,799159694
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;pappus_length_89;common_garden;2;0,00241015875267266;6,34;0,00170423959775095;Senecio_integrifolius_pappus_length_89;72,867;floral;flowersize;O;linear;1,5047577855
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;pappus_length_90;common_garden;2;0,00117172237941462;6,405;0,000828532840152117;Senecio_integrifolius_pappus_length_90;72,867;floral;flowersize;O;linear;3,441912753
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;seed_length_89;common_garden;2;0;2,5;0;Senecio_integrifolius_seed_length_89;72,867;floral;fitness;O;linear;2,318688
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;seed_length_90;common_garden;2;0,000318700019228693;3,565;0,000225354944760892;Senecio_integrifolius_seed_length_90;72,867;floral;fitness;O;linear;1,322004305
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;seed_weight_90;common_garden;2;0,0125415095465477;69,6;0,00886818644667968;Senecio_integrifolius_seed_weight_90;72,867;floral;fitness;O;mass_volume;2,2365289535
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;seed_width_90;common_garden;2;0,00222386971626108;0,9;0,00157251335684361;Senecio_integrifolius_seed_width_90;72,867;floral;fitness;O;linear;0,5257657305
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;stem_height_89;common_garden;2;0,00871153442987013;17,45;0,00615998506990125;Senecio_integrifolius_stem_height_89;72,867;vegetative;plant_size;O;linear;2,0712828265
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;stem_height_90;common_garden;2;0,00764020505492755;32,4;0,00540244080399501;Senecio_integrifolius_stem_height_90;72,867;vegetative;plant_size;O;linear;3,7628973645
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;stylar_exsertion_90;common_garden;2;0,000181416865820796;1,05;0,000128281096043495;Senecio_integrifolius_stylar_exsertion_90;72,867;floral;fit;O;linear;14,948779586
Widen_&_Andersson_1993_Senecio_integrifolius_common_garden;Senecio_integrifolius;style_length_90;common_garden;2;0,000394942542372235;4,27;0,000279266549890463;Senecio_integrifolius_style_length_90;72,867;floral;fit;O;linear;0,3794213985
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;flowering_time;greenhouse;5;0,119351622217207;153,17;0,0637961255560663;Brassica_cretica_flowering_time;222,207;lifehistory;flowering;O;time;3,6896960438
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;internode_length;greenhouse;5;0,209703180222653;6,294;0,112091064758583;Brassica_cretica_internode_length;222,207;vegetative;plant_size;O;ratio;5,2649260764
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;leaf_dissection;greenhouse;5;0,0740356107467336;11,936;0,0395736985478337;Brassica_cretica_leaf_dissection;222,207;vegetative;shape;O;ratio;0,8367409814
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;leaf_length;greenhouse;5;0,0192137082966399;18,724;0,0102701590822061;Brassica_cretica_leaf_length;222,207;vegetative;leaf_size;O;linear;0,4318509248
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;node_number;greenhouse;5;0,0715807466485387;50,39;0,0382615184926141;Brassica_cretica_node_number;222,207;vegetative;plant_size;O;count;1,389534271
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;number_of_lateral_racemes;greenhouse;5;0,101779191811172;4,538;0,0544032664085932;Brassica_cretica_number_of_lateral_racemes;222,207;floral;display;O;count;8,8154710024
Widen_et_al_2002_Brassica_cretica_greenhouse;Brassica_cretica;petal_size;greenhouse;5;0,0144808453997075;18,914;0,00774033745093529;Brassica_cretica_petal_size;222,207;floral;flowersize;O;linear;0,3736399396
Worley_&_Barrett_2001_Eichhornia_paniculata_greenhouse;Eichhornia_paniculata;flower_area;greenhouse;2;0,0058085824056017;5,665;0,00410728800808183;Eichhornia_paniculata_flower_area;47,849;floral;flowersize;M;area;1,0125
Worley_&_Barrett_2001_Eichhornia_paniculata_greenhouse;Eichhornia_paniculata;flowering_age;greenhouse;2;0,00853081602733361;23;0,00603219786198248;Eichhornia_paniculata_flowering_age;47,849;lifehistory;flowering;M;time;7,274
Worley_&_Barrett_2001_Eichhornia_paniculata_greenhouse;Eichhornia_paniculata;leaf_area;greenhouse;2;0,0114879450799427;30,075;0,00812320386792614;Eichhornia_paniculata_leaf_area;47,849;vegetative;leaf_size;M;area;5,30125
